symbol name USD_price
BTC Bitcoin 7661.3
ETH Ethereum 167.42
AUD2 "Aussie  Digital" 0.65982667
XRP Ripple 0.282570591
UNFLD UnfoldU 34.34
USDT Tether 1.000337543
BCH "Bitcoin Cash" 222.35
GRAM "Telegram Open Network" 1.807366053
LTC Litecoin 52.63
BNB "Binance Coin" 17.78
EOS EOS 2.85
BCHSV "Bitcoin SV" 116.24
EGWCAP "EGW Capital" 11.95
XLM "Stellar Lumens" 0.061098604
TRX TRON 0.015509159
ADA Cardano 0.038299367
LINK ChainLink 2.75
LEO "Bitfinex Leo Token" 0.939414153
XMR Monero 54.29
HT "Huobi Token" 3.37
IOT IOTA 0.25976217
FZEN "Financial Zen" 104.92
DASH Dash 65.03
ATOM Cosmos 2.91
XTZ Tezos 0.785216924
MEXC "MEXC Token" 0.566400145
ETC "Ethereum Classic" 4.43
NEO NEO 7.14
MKR Maker 478.02
USDC "USD Coin" 0.999334752
TEFCO "Tefco Tech" 0.084186039
CRO2 "Crypto.com Chain Token" 0.034066814
XEM NEM 0.038452857
BAT "Basic Attention Token" 0.236382053
DOGE Dogecoin 0.002574689
INO InoCoin 1.718682718
ONT Ontology 0.571764123
XUSB XUSB 1.000312114
ZEC Zcash 35.12
PAX "Paxos Standard" 0.998059706
HEDG HedgeTrade 0.668119721
ZRX 0x 0.302625945
TUSD "True USD" 0.998017125
VET "VeChain Thor" 0.003148921
THX ThoreNext 7.74
QTUM Qtum 1.634149478
ABBC "ABBC COIN" 0.276904027
HOT2 Holo 0.000920365
HSN "Helper Search Token" 0.0
WBBC Wibcoin 0.002078334
DCR Decred 13.19
VOLLAR V-Dimension 0.734839018
ZB ZB 0.290099408
RVN Ravencoin 0.028180396
NUT "Native Utility Token" 24.28
THR ThoreCoin 1477.11
BTG "Bitcoin Gold" 7.21
EGWHY "EGW Capital HY 1" 490.16
INB "Insight Chain" 0.351669657
EKT EDUCare 0.140862234
CENNZ Centrality 0.109715003
MGC MergeCoin 1.220091516
SNX Synthetix 0.808428848
SXP Swipe 1.84943704
OMG OmiseGO 0.789986827
KCS "KuCoin Shares" 1.242025773
XRB Nano 0.764667953
VSYS "V Systems" 0.053069761
DGB DigiByte 0.007153502
ALGO Algorand 0.2080267
REP Augur 7.99
LSK Lisk 0.716968918
DAI Dai 1.011519538
CGIZA CryptoGuyInZA 0.01706524
BTT "BitTorrent Token" 0.00039912
BCD "Bitcoin Diamond" 0.435116207
THETA "Theta Token" 0.092350943
SC Siacoin 0.001909317
EON "Dimension Chain" 0.321201777
XIN Mixin 168.63
KBC "Karatgold Coin" 0.020680282
ADK "Aidos Kuneen" 2.92
WAVES Waves 0.7275739
ICX ICON 0.144156262
SLV2 Silverway 0.716377686
DFT2 DigiFinexToken 0.503554074
BTS BitShares 0.025139205
MONA MonaCoin 1.033483511
BCN Bytecoin 0.000355651
GAP2 GAPS 6.49
QNT "Quant Network" 5.36
BXK "BitBook AG" 0.170729969
BDX Beldex 0.060738601
AE Aeternity 0.202043275
KMD Komodo 0.498461895
XVG Verge 0.003620763
HC HyperCash 1.304862013
MCO Crypto.com 3.65
BTM Bytom 0.057426511
NRG Energi 2.5
NEXO Nexo 0.097838048
